series_id	year	period	value	footnote_codes
CUSR0000SA311    	1947	M01	        46.1	        
CUSR0000SA311    	1947	M02	        46.5	        
CUSR0000SA311    	1947	M03	        47.1	        
CUSR0000SA311    	1947	M04	        47.5	        
CUSR0000SA311    	1947	M05	        47.6	        
CUSR0000SA311    	1947	M06	        47.7	        
CUSR0000SA311    	1947	M07	        47.8	        
CUSR0000SA311    	1947	M08	        47.9	        
CUSR0000SA311    	1947	M09	        48.0	        
CUSR0000SA311    	1947	M10	        48.2	        
CUSR0000SA311    	1947	M11	        48.5	        
CUSR0000SA311    	1947	M12	        48.8	        
CUSR0000SA311    	1948	M01	        49.1	        
CUSR0000SA311    	1948	M02	        49.6	        
CUSR0000SA311    	1948	M03	        49.8	        
CUSR0000SA311    	1948	M04	        50.1	        
CUSR0000SA311    	1948	M05	        50.5	        
CUSR0000SA311    	1948	M06	        50.5	        
CUSR0000SA311    	1948	M07	        50.7	        
CUSR0000SA311    	1948	M08	        51.3	        
CUSR0000SA311    	1948	M09	        51.2	        
CUSR0000SA311    	1948	M10	        51.2	        
CUSR0000SA311    	1948	M11	        51.1	        
CUSR0000SA311    	1948	M12	        51.0	        
CUSR0000SA311    	1949	M01	        50.1	        
CUSR0000SA311    	1949	M02	        49.5	        
CUSR0000SA311    	1949	M03	        49.2	        
CUSR0000SA311    	1949	M04	        48.9	        
CUSR0000SA311    	1949	M05	        48.6	        
CUSR0000SA311    	1949	M06	        48.4	        
CUSR0000SA311    	1949	M07	        48.1	        
CUSR0000SA311    	1949	M08	        47.6	        
CUSR0000SA311    	1949	M09	        47.2	        
CUSR0000SA311    	1949	M10	        46.9	        
CUSR0000SA311    	1949	M11	        46.7	        
CUSR0000SA311    	1949	M12	        46.7	        
CUSR0000SA311    	1950	M01	        46.7	        
CUSR0000SA311    	1950	M02	        46.5	        
CUSR0000SA311    	1950	M03	        46.5	        
CUSR0000SA311    	1950	M04	        46.6	        
CUSR0000SA311    	1950	M05	        46.6	        
CUSR0000SA311    	1950	M06	        46.6	        
CUSR0000SA311    	1950	M07	        46.8	        
CUSR0000SA311    	1950	M08	        47.0	        
CUSR0000SA311    	1950	M09	        47.6	        
CUSR0000SA311    	1950	M10	        48.1	        
CUSR0000SA311    	1950	M11	        48.5	        
CUSR0000SA311    	1950	M12	        48.7	        
CUSR0000SA311    	1951	M01	        49.6	        
CUSR0000SA311    	1951	M02	        50.3	        
CUSR0000SA311    	1951	M03	        50.6	        
CUSR0000SA311    	1951	M04	        50.8	        
CUSR0000SA311    	1951	M05	        51.1	        
CUSR0000SA311    	1951	M06	        51.1	        
CUSR0000SA311    	1951	M07	        51.0	        
CUSR0000SA311    	1951	M08	        51.0	        
CUSR0000SA311    	1951	M09	        52.0	        
CUSR0000SA311    	1951	M10	        51.7	        
CUSR0000SA311    	1951	M11	        51.5	        
CUSR0000SA311    	1951	M12	        51.4	        
CUSR0000SA311    	1952	M01	        51.1	        
CUSR0000SA311    	1952	M02	        51.0	        
CUSR0000SA311    	1952	M03	        50.8	        
CUSR0000SA311    	1952	M04	        50.7	        
CUSR0000SA311    	1952	M05	        50.6	        
CUSR0000SA311    	1952	M06	        50.7	        
CUSR0000SA311    	1952	M07	        50.6	        
CUSR0000SA311    	1952	M08	        50.6	        
CUSR0000SA311    	1952	M09	        50.5	        
CUSR0000SA311    	1952	M10	        50.2	        
CUSR0000SA311    	1952	M11	        50.1	        
CUSR0000SA311    	1952	M12	        50.0	        
CUSR0000SA311    	1953	M01	        50.1	        
CUSR0000SA311    	1953	M02	        50.0	        
CUSR0000SA311    	1953	M03	        50.1	        
CUSR0000SA311    	1953	M04	        50.1	        
CUSR0000SA311    	1953	M05	        50.1	        
CUSR0000SA311    	1953	M06	        50.2	        
CUSR0000SA311    	1953	M07	        50.1	        
CUSR0000SA311    	1953	M08	        50.1	        
CUSR0000SA311    	1953	M09	        50.1	        
CUSR0000SA311    	1953	M10	        50.1	        
CUSR0000SA311    	1953	M11	        50.1	        
CUSR0000SA311    	1953	M12	        50.0	        
CUSR0000SA311    	1954	M01	        50.1	        
CUSR0000SA311    	1954	M02	        50.0	        
CUSR0000SA311    	1954	M03	        49.8	        
CUSR0000SA311    	1954	M04	        49.8	        
CUSR0000SA311    	1954	M05	        49.8	        
CUSR0000SA311    	1954	M06	        49.8	        
CUSR0000SA311    	1954	M07	        49.7	        
CUSR0000SA311    	1954	M08	        49.6	        
CUSR0000SA311    	1954	M09	        49.4	        
CUSR0000SA311    	1954	M10	        49.4	        
CUSR0000SA311    	1954	M11	        49.5	        
CUSR0000SA311    	1954	M12	        49.4	        
CUSR0000SA311    	1955	M01	        49.2	        
CUSR0000SA311    	1955	M02	        49.3	        
CUSR0000SA311    	1955	M03	        49.2	        
CUSR0000SA311    	1955	M04	        49.2	        
CUSR0000SA311    	1955	M05	        49.3	        
CUSR0000SA311    	1955	M06	        49.2	        
CUSR0000SA311    	1955	M07	        49.2	        
CUSR0000SA311    	1955	M08	        49.3	        
CUSR0000SA311    	1955	M09	        49.5	        
CUSR0000SA311    	1955	M10	        49.3	        
CUSR0000SA311    	1955	M11	        49.2	        
CUSR0000SA311    	1955	M12	        49.3	        
CUSR0000SA311    	1956	M01	        49.4	        
CUSR0000SA311    	1956	M02	        49.6	        
CUSR0000SA311    	1956	M03	        49.6	        
CUSR0000SA311    	1956	M04	        49.6	        
CUSR0000SA311    	1956	M05	        49.6	        
CUSR0000SA311    	1956	M06	        49.6	        
CUSR0000SA311    	1956	M07	        49.8	        
CUSR0000SA311    	1956	M08	        49.8	        
CUSR0000SA311    	1956	M09	        49.9	        
CUSR0000SA311    	1956	M10	        50.0	        
CUSR0000SA311    	1956	M11	        50.1	        
CUSR0000SA311    	1956	M12	        50.2	        
CUSR0000SA311    	1957	M01	        50.1	        
CUSR0000SA311    	1957	M02	        50.0	        
CUSR0000SA311    	1957	M03	        50.3	        
CUSR0000SA311    	1957	M04	        50.2	        
CUSR0000SA311    	1957	M05	        50.2	        
CUSR0000SA311    	1957	M06	        50.2	        
CUSR0000SA311    	1957	M07	        50.2	        
CUSR0000SA311    	1957	M08	        50.2	        
CUSR0000SA311    	1957	M09	        50.2	        
CUSR0000SA311    	1957	M10	        50.3	        
CUSR0000SA311    	1957	M11	        50.3	        
CUSR0000SA311    	1957	M12	        50.2	        
CUSR0000SA311    	1958	M01	        50.2	        
CUSR0000SA311    	1958	M02	        50.2	        
CUSR0000SA311    	1958	M03	        50.2	        
CUSR0000SA311    	1958	M04	        50.1	        
CUSR0000SA311    	1958	M05	        50.2	        
CUSR0000SA311    	1958	M06	        50.2	        
CUSR0000SA311    	1958	M07	        50.2	        
CUSR0000SA311    	1958	M08	        50.1	        
CUSR0000SA311    	1958	M09	        49.9	        
CUSR0000SA311    	1958	M10	        49.8	        
CUSR0000SA311    	1958	M11	        50.1	        
CUSR0000SA311    	1958	M12	        50.1	        
CUSR0000SA311    	1959	M01	        50.1	        
CUSR0000SA311    	1959	M02	        50.1	        
CUSR0000SA311    	1959	M03	        50.0	        
CUSR0000SA311    	1959	M04	        50.1	        
CUSR0000SA311    	1959	M05	        50.2	        
CUSR0000SA311    	1959	M06	        50.2	        
CUSR0000SA311    	1959	M07	        50.2	        
CUSR0000SA311    	1959	M08	        50.3	        
CUSR0000SA311    	1959	M09	        50.3	        
CUSR0000SA311    	1959	M10	        50.4	        
CUSR0000SA311    	1959	M11	        50.3	        
CUSR0000SA311    	1959	M12	        50.3	        
CUSR0000SA311    	1960	M01	        50.1	        
CUSR0000SA311    	1960	M02	        50.5	        
CUSR0000SA311    	1960	M03	        50.5	        
CUSR0000SA311    	1960	M04	        50.6	        
CUSR0000SA311    	1960	M05	        50.7	        
CUSR0000SA311    	1960	M06	        50.6	        
CUSR0000SA311    	1960	M07	        50.7	        
CUSR0000SA311    	1960	M08	        50.8	        
CUSR0000SA311    	1960	M09	        51.0	        
CUSR0000SA311    	1960	M10	        51.0	        
CUSR0000SA311    	1960	M11	        51.0	        
CUSR0000SA311    	1960	M12	        51.0	        
CUSR0000SA311    	1961	M01	        51.0	        
CUSR0000SA311    	1961	M02	        51.0	        
CUSR0000SA311    	1961	M03	        51.0	        
CUSR0000SA311    	1961	M04	        50.9	        
CUSR0000SA311    	1961	M05	        50.9	        
CUSR0000SA311    	1961	M06	        51.0	        
CUSR0000SA311    	1961	M07	        51.1	        
CUSR0000SA311    	1961	M08	        51.1	        
CUSR0000SA311    	1961	M09	        51.2	        
CUSR0000SA311    	1961	M10	        51.2	        
CUSR0000SA311    	1961	M11	        51.1	        
CUSR0000SA311    	1961	M12	        51.0	        
CUSR0000SA311    	1962	M01	        50.6	        
CUSR0000SA311    	1962	M02	        50.7	        
CUSR0000SA311    	1962	M03	        51.0	        
CUSR0000SA311    	1962	M04	        51.0	        
CUSR0000SA311    	1962	M05	        50.9	        
CUSR0000SA311    	1962	M06	        51.1	        
CUSR0000SA311    	1962	M07	        51.2	        
CUSR0000SA311    	1962	M08	        50.9	        
CUSR0000SA311    	1962	M09	        51.7	        
CUSR0000SA311    	1962	M10	        51.6	        
CUSR0000SA311    	1962	M11	        51.2	        
CUSR0000SA311    	1962	M12	        51.1	        
CUSR0000SA311    	1963	M01	        51.3	        
CUSR0000SA311    	1963	M02	        51.4	        
CUSR0000SA311    	1963	M03	        51.4	        
CUSR0000SA311    	1963	M04	        51.5	        
CUSR0000SA311    	1963	M05	        51.4	        
CUSR0000SA311    	1963	M06	        51.5	        
CUSR0000SA311    	1963	M07	        51.6	        
CUSR0000SA311    	1963	M08	        51.7	        
CUSR0000SA311    	1963	M09	        51.6	        
CUSR0000SA311    	1963	M10	        51.8	        
CUSR0000SA311    	1963	M11	        51.9	        
CUSR0000SA311    	1963	M12	        51.9	        
CUSR0000SA311    	1964	M01	        52.0	        
CUSR0000SA311    	1964	M02	        52.0	        
CUSR0000SA311    	1964	M03	        52.0	        
CUSR0000SA311    	1964	M04	        52.1	        
CUSR0000SA311    	1964	M05	        52.1	        
CUSR0000SA311    	1964	M06	        52.1	        
CUSR0000SA311    	1964	M07	        52.1	        
CUSR0000SA311    	1964	M08	        52.1	        
CUSR0000SA311    	1964	M09	        51.9	        
CUSR0000SA311    	1964	M10	        51.9	        
CUSR0000SA311    	1964	M11	        52.0	        
CUSR0000SA311    	1964	M12	        52.1	        
CUSR0000SA311    	1965	M01	        52.2	        
CUSR0000SA311    	1965	M02	        52.3	        
CUSR0000SA311    	1965	M03	        52.2	        
CUSR0000SA311    	1965	M04	        52.2	        
CUSR0000SA311    	1965	M05	        52.5	        
CUSR0000SA311    	1965	M06	        52.6	        
CUSR0000SA311    	1965	M07	        52.3	        
CUSR0000SA311    	1965	M08	        52.5	        
CUSR0000SA311    	1965	M09	        52.4	        
CUSR0000SA311    	1965	M10	        52.5	        
CUSR0000SA311    	1965	M11	        52.6	        
CUSR0000SA311    	1965	M12	        52.6	        
CUSR0000SA311    	1966	M01	        52.7	        
CUSR0000SA311    	1966	M02	        52.8	        
CUSR0000SA311    	1966	M03	        53.0	        
CUSR0000SA311    	1966	M04	        53.1	        
CUSR0000SA311    	1966	M05	        53.1	        
CUSR0000SA311    	1966	M06	        53.2	        
CUSR0000SA311    	1966	M07	        53.4	        
CUSR0000SA311    	1966	M08	        53.4	        
CUSR0000SA311    	1966	M09	        53.7	        
CUSR0000SA311    	1966	M10	        53.8	        
CUSR0000SA311    	1966	M11	        54.0	        
CUSR0000SA311    	1966	M12	        54.2	        
CUSR0000SA311    	1967	M01	        54.4	        
CUSR0000SA311    	1967	M02	        54.7	        
CUSR0000SA311    	1967	M03	        54.8	        
CUSR0000SA311    	1967	M04	        54.9	        
CUSR0000SA311    	1967	M05	        55.1	        
CUSR0000SA311    	1967	M06	        55.3	        
CUSR0000SA311    	1967	M07	        55.6	        
CUSR0000SA311    	1967	M08	        55.8	        
CUSR0000SA311    	1967	M09	        55.9	        
CUSR0000SA311    	1967	M10	        56.0	        
CUSR0000SA311    	1967	M11	        56.2	        
CUSR0000SA311    	1967	M12	        56.5	        
CUSR0000SA311    	1968	M01	        56.8	        
CUSR0000SA311    	1968	M02	        57.1	        
CUSR0000SA311    	1968	M03	        57.4	        
CUSR0000SA311    	1968	M04	        57.8	        
CUSR0000SA311    	1968	M05	        58.1	        
CUSR0000SA311    	1968	M06	        58.4	        
CUSR0000SA311    	1968	M07	        58.8	        
CUSR0000SA311    	1968	M08	        59.2	        
CUSR0000SA311    	1968	M09	        59.6	        
CUSR0000SA311    	1968	M10	        59.8	        
CUSR0000SA311    	1968	M11	        59.9	        
CUSR0000SA311    	1968	M12	        60.3	        
CUSR0000SA311    	1969	M01	        60.7	        
CUSR0000SA311    	1969	M02	        60.9	        
CUSR0000SA311    	1969	M03	        61.2	        
CUSR0000SA311    	1969	M04	        61.4	        
CUSR0000SA311    	1969	M05	        61.7	        
CUSR0000SA311    	1969	M06	        62.0	        
CUSR0000SA311    	1969	M07	        62.5	        
CUSR0000SA311    	1969	M08	        62.3	        
CUSR0000SA311    	1969	M09	        62.7	        
CUSR0000SA311    	1969	M10	        62.8	        
CUSR0000SA311    	1969	M11	        63.2	        
CUSR0000SA311    	1969	M12	        63.4	        
CUSR0000SA311    	1970	M01	        63.5	        
CUSR0000SA311    	1970	M02	        63.8	        
CUSR0000SA311    	1970	M03	        63.8	        
CUSR0000SA311    	1970	M04	        63.9	        
CUSR0000SA311    	1970	M05	        64.0	        
CUSR0000SA311    	1970	M06	        64.3	        
CUSR0000SA311    	1970	M07	        64.4	        
CUSR0000SA311    	1970	M08	        64.5	        
