series_id	year	period	value	footnote_codes
CUSR0000SAG      	1967	M01	        34.5	        
CUSR0000SAG      	1967	M02	        34.5	        
CUSR0000SAG      	1967	M03	        34.6	        
CUSR0000SAG      	1967	M04	        34.6	        
CUSR0000SAG      	1967	M05	        34.7	        
CUSR0000SAG      	1967	M06	        34.8	        
CUSR0000SAG      	1967	M07	        35.0	        
CUSR0000SAG      	1967	M08	        35.3	        
CUSR0000SAG      	1967	M09	        35.5	        
CUSR0000SAG      	1967	M10	        35.6	        
CUSR0000SAG      	1967	M11	        35.8	        
CUSR0000SAG      	1967	M12	        35.9	        
CUSR0000SAG      	1968	M01	        36.1	        
CUSR0000SAG      	1968	M02	        36.1	        
CUSR0000SAG      	1968	M03	        36.4	        
CUSR0000SAG      	1968	M04	        36.5	        
CUSR0000SAG      	1968	M05	        36.6	        
CUSR0000SAG      	1968	M06	        36.9	        
CUSR0000SAG      	1968	M07	        37.0	        
CUSR0000SAG      	1968	M08	        37.1	        
CUSR0000SAG      	1968	M09	        37.3	        
CUSR0000SAG      	1968	M10	        37.4	        
CUSR0000SAG      	1968	M11	        37.6	        
CUSR0000SAG      	1968	M12	        37.7	        
CUSR0000SAG      	1969	M01	        37.8	        
CUSR0000SAG      	1969	M02	        37.9	        
CUSR0000SAG      	1969	M03	        38.0	        
CUSR0000SAG      	1969	M04	        38.1	        
CUSR0000SAG      	1969	M05	        38.2	        
CUSR0000SAG      	1969	M06	        38.5	        
CUSR0000SAG      	1969	M07	        38.8	        
CUSR0000SAG      	1969	M08	        39.1	        
CUSR0000SAG      	1969	M09	        39.3	        
CUSR0000SAG      	1969	M10	        39.4	        
CUSR0000SAG      	1969	M11	        39.7	        
CUSR0000SAG      	1969	M12	        39.8	        
CUSR0000SAG      	1970	M01	        39.9	        
CUSR0000SAG      	1970	M02	        40.0	        
CUSR0000SAG      	1970	M03	        40.2	        
CUSR0000SAG      	1970	M04	        40.5	        
CUSR0000SAG      	1970	M05	        40.7	        
CUSR0000SAG      	1970	M06	        40.9	        
CUSR0000SAG      	1970	M07	        41.2	        
CUSR0000SAG      	1970	M08	        41.4	        
CUSR0000SAG      	1970	M09	        41.5	        
CUSR0000SAG      	1970	M10	        41.6	        
CUSR0000SAG      	1970	M11	        41.8	        
CUSR0000SAG      	1970	M12	        41.9	        
CUSR0000SAG      	1971	M01	        42.2	        
CUSR0000SAG      	1971	M02	        42.2	        
CUSR0000SAG      	1971	M03	        42.3	        
CUSR0000SAG      	1971	M04	        42.4	        
CUSR0000SAG      	1971	M05	        42.6	        
CUSR0000SAG      	1971	M06	        42.7	        
CUSR0000SAG      	1971	M07	        43.0	        
CUSR0000SAG      	1971	M08	        43.2	        
CUSR0000SAG      	1971	M09	        43.5	        
CUSR0000SAG      	1971	M10	        43.5	        
CUSR0000SAG      	1971	M11	        43.6	        
CUSR0000SAG      	1971	M12	        43.7	        
CUSR0000SAG      	1972	M01	        43.9	        
CUSR0000SAG      	1972	M02	        44.1	        
CUSR0000SAG      	1972	M03	        44.3	        
CUSR0000SAG      	1972	M04	        44.4	        
CUSR0000SAG      	1972	M05	        44.6	        
CUSR0000SAG      	1972	M06	        44.8	        
CUSR0000SAG      	1972	M07	        44.8	        
CUSR0000SAG      	1972	M08	        44.9	        
CUSR0000SAG      	1972	M09	        45.0	        
CUSR0000SAG      	1972	M10	        45.1	        
CUSR0000SAG      	1972	M11	        45.2	        
CUSR0000SAG      	1972	M12	        45.3	        
CUSR0000SAG      	1973	M01	        45.3	        
CUSR0000SAG      	1973	M02	        45.5	        
CUSR0000SAG      	1973	M03	        45.8	        
CUSR0000SAG      	1973	M04	        46.1	        
CUSR0000SAG      	1973	M05	        46.2	        
CUSR0000SAG      	1973	M06	        46.4	        
CUSR0000SAG      	1973	M07	        46.6	        
CUSR0000SAG      	1973	M08	        46.7	        
CUSR0000SAG      	1973	M09	        46.9	        
CUSR0000SAG      	1973	M10	        47.1	        
CUSR0000SAG      	1973	M11	        47.3	        
CUSR0000SAG      	1973	M12	        47.5	        
CUSR0000SAG      	1974	M01	        47.6	        
CUSR0000SAG      	1974	M02	        47.9	        
CUSR0000SAG      	1974	M03	        48.2	        
CUSR0000SAG      	1974	M04	        48.4	        
CUSR0000SAG      	1974	M05	        48.9	        
CUSR0000SAG      	1974	M06	        49.5	        
CUSR0000SAG      	1974	M07	        50.0	        
CUSR0000SAG      	1974	M08	        50.5	        
CUSR0000SAG      	1974	M09	        50.9	        
CUSR0000SAG      	1974	M10	        51.4	        
CUSR0000SAG      	1974	M11	        51.8	        
CUSR0000SAG      	1974	M12	        52.3	        
CUSR0000SAG      	1975	M01	        52.7	        
CUSR0000SAG      	1975	M02	        53.0	        
CUSR0000SAG      	1975	M03	        53.3	        
CUSR0000SAG      	1975	M04	        53.5	        
CUSR0000SAG      	1975	M05	        53.7	        
CUSR0000SAG      	1975	M06	        53.8	        
CUSR0000SAG      	1975	M07	        54.1	        
CUSR0000SAG      	1975	M08	        54.2	        
CUSR0000SAG      	1975	M09	        54.3	        
CUSR0000SAG      	1975	M10	        54.6	        
CUSR0000SAG      	1975	M11	        54.8	        
CUSR0000SAG      	1975	M12	        55.3	        
CUSR0000SAG      	1976	M01	        55.6	        
CUSR0000SAG      	1976	M02	        56.1	        
CUSR0000SAG      	1976	M03	        56.2	        
CUSR0000SAG      	1976	M04	        56.5	        
CUSR0000SAG      	1976	M05	        56.7	        
CUSR0000SAG      	1976	M06	        56.9	        
CUSR0000SAG      	1976	M07	        57.1	        
CUSR0000SAG      	1976	M08	        57.3	        
CUSR0000SAG      	1976	M09	        57.5	        
CUSR0000SAG      	1976	M10	        57.8	        
CUSR0000SAG      	1976	M11	        58.2	        
CUSR0000SAG      	1976	M12	        58.5	        
CUSR0000SAG      	1977	M01	        58.9	        
CUSR0000SAG      	1977	M02	        59.1	        
CUSR0000SAG      	1977	M03	        59.3	        
CUSR0000SAG      	1977	M04	        59.6	        
CUSR0000SAG      	1977	M05	        59.8	        
CUSR0000SAG      	1977	M06	        60.2	        
CUSR0000SAG      	1977	M07	        60.5	        
CUSR0000SAG      	1977	M08	        60.6	        
CUSR0000SAG      	1977	M09	        60.9	        
CUSR0000SAG      	1977	M10	        61.5	        
CUSR0000SAG      	1977	M11	        62.0	        
CUSR0000SAG      	1977	M12	        62.2	        
CUSR0000SAG      	1978	M01	        62.5	        
CUSR0000SAG      	1978	M02	        62.7	        
CUSR0000SAG      	1978	M03	        62.9	        
CUSR0000SAG      	1978	M04	        63.2	        
CUSR0000SAG      	1978	M05	        63.6	        
CUSR0000SAG      	1978	M06	        63.9	        
CUSR0000SAG      	1978	M07	        64.7	        
CUSR0000SAG      	1978	M08	        65.1	        
CUSR0000SAG      	1978	M09	        65.5	        
CUSR0000SAG      	1978	M10	        65.7	        
CUSR0000SAG      	1978	M11	        66.0	        
CUSR0000SAG      	1978	M12	        66.2	        
CUSR0000SAG      	1979	M01	        66.7	        
CUSR0000SAG      	1979	M02	        67.2	        
CUSR0000SAG      	1979	M03	        67.7	        
CUSR0000SAG      	1979	M04	        68.0	        
CUSR0000SAG      	1979	M05	        68.4	        
CUSR0000SAG      	1979	M06	        68.7	        
CUSR0000SAG      	1979	M07	        69.1	        
CUSR0000SAG      	1979	M08	        69.8	        
CUSR0000SAG      	1979	M09	        70.2	        
CUSR0000SAG      	1979	M10	        70.4	        
CUSR0000SAG      	1979	M11	        70.8	        
CUSR0000SAG      	1979	M12	        71.3	        
CUSR0000SAG      	1980	M01	        72.2	        
CUSR0000SAG      	1980	M02	        72.9	        
CUSR0000SAG      	1980	M03	        73.4	        
CUSR0000SAG      	1980	M04	        73.8	        
CUSR0000SAG      	1980	M05	        74.5	        
CUSR0000SAG      	1980	M06	        75.1	        
CUSR0000SAG      	1980	M07	        75.6	        
CUSR0000SAG      	1980	M08	        76.0	        
CUSR0000SAG      	1980	M09	        76.8	        
CUSR0000SAG      	1980	M10	        77.1	        
CUSR0000SAG      	1980	M11	        77.7	        
CUSR0000SAG      	1980	M12	        78.6	        
CUSR0000SAG      	1981	M01	        79.2	        
CUSR0000SAG      	1981	M02	        79.7	        
CUSR0000SAG      	1981	M03	        80.3	        
CUSR0000SAG      	1981	M04	        80.9	        
CUSR0000SAG      	1981	M05	        81.9	        
CUSR0000SAG      	1981	M06	        82.5	        
CUSR0000SAG      	1981	M07	        83.0	        
CUSR0000SAG      	1981	M08	        83.5	        
CUSR0000SAG      	1981	M09	        84.5	        
CUSR0000SAG      	1981	M10	        85.3	        
CUSR0000SAG      	1981	M11	        85.7	        
CUSR0000SAG      	1981	M12	        86.3	        
CUSR0000SAG      	1982	M01	        86.9	        
CUSR0000SAG      	1982	M02	        87.7	        
CUSR0000SAG      	1982	M03	        88.6	        
CUSR0000SAG      	1982	M04	        89.3	        
